model,sentence_id,english,tamil_reference,translated_tamil
mT5-base,8,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"ஸிமினாஃப், 2013 ஆம் ஆண்டு ஷார் டேங்க் தொடரில் தான் தோன்றியது மற்றும் அவர்கள் தன் ஸ்டார்ட் அப் நிறுவனத்திற்கு பணம் அளிக்க மறுத்ததன் பின்னர் அவரது விற்பனை பெருகியது என்று தெரிவித்தார்.",<extra_id_0> a few months.
mT5-base,9,"In late 2017, Siminoff appeared on shopping television channel QVC.","சிமினோஃப் 2017 இன் பிற்பகுதியில், ஷாப்பிங் தொலைக்காட்சி சேனலான QVC இல் தோன்றினார்.","<extra_id_0>, which."
mT5-base,10,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",ரிங் அதன் போட்டி பாதுகாப்பு நிறுவனமான ADT கார்ப்பரேஷனுடன் உரிமை கோரல் வழக்கை தீர்த்துக் கொண்டது.,<extra_id_0> a few.
OpusMT-mul,1,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""""""எங்களிடம் இப்போது  4-மாத-வயதுடைய எலி ஒன்று உள்ளது, முன்னர் அதற்கு நீரிழிவு இருந்தது தற்போது இல்லை"""" என்று அவர் மேலும் கூறினார்.""","""Nos now have 4-menes-years-mouses, die non-diabetics, die diabetes era diabetes,"" he add."
OpusMT-mul,2,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","ஹாலிஃபாக்ஸில் உள்ள டல்ஹெளசி பல்கலைக்கழகத்தின் மருத்துவப் பேராசிரியரும், நோவா ஸ்கோட்டியா மற்றும் கனேடிய நீரிழிவு சங்கத்தின் மருத்துவ மற்றும் அறிவியல் பிரிவின் தலைவருமான டாக்டர் இஹுத் உர், ஆராய்ச்சி இன்னும் ஆரம்ப நாட்களில்தான் உள்ளது என்று எச்சரித்துள்ளார்.","Dr. Ehud Ur, professor de medicina de Dalhousie University of Halifax, Nova Scotia, professor de Medicine University of Dalhousie, et president de la Canadian Diabetes Association de la Canadian Diabetes Association, attentionou que research nowly is in the start days."
OpusMT-mul,3,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","பிற வல்லுனர்கள் போலவே அவரும், ஏற்கனவே டைப் 1 இரத்த சர்க்கரை நோயுள்ளவர்களுக்கு இந்த கண்டுபிடிப்புகள் பொருந்தவில்லை என்பதால் இரத்த சர்க்கரை நோயிற்கு நிவாரணம் உள்ளதா என்பது குறித்து சந்தேகமடைகிறார்.","Like ambeni expertos, like ambeni experts, el scepticut, si diabetes puede kurse, sanat, que existios existions problemen necessariamente perfect for persones, ki haya diabetes type 1 diabetes, Type 1."
OpusMT-mul,4,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","திங்கட் கிழமையன்று ஸ்வீடிஷ் அகேடமியில் இலக்கியத்திற்கான நோபல் குழுவின் செயலாளர், சாரா டேனியஸ் ஸ்வீடனின் ஸ்வெரிஜெஸ் ரேடியோவின் ஒரு ரேடியோ நிகழ்ச்சியில், பாப் டைலன் 2016ஆம் வருட இலக்கியத்திற்கான நோபல் பரிசு வென்றதை அவரிடம் நேரிடையாக அறிவிக்க இயலவில்லை என்றும் அவரை அடையும் முயற்சி கைவிடப்பட்டது என்றும் பொதுவாக அறிவித்தார்.","On Lundi, Sara Danius, permanent sekretaris de Nobel Committee for Literature in the Sweden Academy, anuncised publicly in the radio program on Sveriges Radio in Sweden, anuncised on Sveriges Radio in Sweden, en Sweden, secretarius, permanente sekretarius de Nobel Committee for Literature in 2016, anuncised publicly the committee, the committee, on Bob Dylan directly on gun the vent the Nobel Price in Literature 2016, were abandoned sues sforces for to get him."
OpusMT-mul,5,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","""""""இப்போது நாம் ஒன்றும் செய்யவில்லை. நான் அவரது நெருங்கிய கூட்டாளிக்கு அழைப்பு செய்து மின்னஞ்சல்களை அனுப்பி, மிகவும் நட்புடன் பதில்களைப் பெற்றுள்ளேன். இப்போதைக்கு, அது போதுமானது."""" என்று டானியஸ் கூறினார்.""","Danius declarade, ""Núna, ništa tampok, ništa tampok, ništa tampoco. I ham telefonat, ni mando e-mails a'n to the finest colaborator and receved reasons very friendly responses. For now, it's definitely sufficely."""
OpusMT-mul,6,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","முன்பு, ரிங்க்ஸின் சீஈஓ ஜேமி ஸிமினாஃப், அவருக்கு அவரது கேரேஜினுள் உள்ள கடைக்குள் கதவு அறிவிப்பு மணியின் ஒலி கேட்காத காரணத்தால், அந்த நிறுவனம் துவங்கப்பட்டது என்பதை குறிப்பிட்டார்.","Anteriormente, Ring's CEO, Jamie Siminoff, remarked the company started when the dorth's down never audited from the shop in your garage."
OpusMT-mul,7,"He built a WiFi door bell, he said.","அவர், தான் வைஃபை கதவு அறிவிப்பு மணியை உருவாக்கியதாகக் கூறினார்.",Hit's the WiFi's bell.
OpusMT-mul,8,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"ஸிமினாஃப், 2013 ஆம் ஆண்டு ஷார் டேங்க் தொடரில் தான் தோன்றியது மற்றும் அவர்கள் தன் ஸ்டார்ட் அப் நிறுவனத்திற்கு பணம் அளிக்க மறுத்ததன் பின்னர் அவரது விற்பனை பெருகியது என்று தெரிவித்தார்.",Siminoff declared vendes remoted post he appeary 2013 in a Shark Tank episodi where the show panel refused financiing the startup.
OpusMT-mul,9,"In late 2017, Siminoff appeared on shopping television channel QVC.","சிமினோஃப் 2017 இன் பிற்பகுதியில், ஷாப்பிங் தொலைக்காட்சி சேனலான QVC இல் தோன்றினார்.","A finale 2017, Siminoff appeared on shopping canal television QVC."
OpusMT-mul,10,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",ரிங் அதன் போட்டி பாதுகாப்பு நிறுவனமான ADT கார்ப்பரேஷனுடன் உரிமை கோரல் வழக்கை தீர்த்துக் கொண்டது.,Ring depublic ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́n ́ ́ ́ ́ ́ ́ ́ ́ ́ ́ ́ ́ ́ ́ ́ ́ ́ . . . . . . .
MADLAD-3B,1,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""""""எங்களிடம் இப்போது  4-மாத-வயதுடைய எலி ஒன்று உள்ளது, முன்னர் அதற்கு நீரிழிவு இருந்தது தற்போது இல்லை"""" என்று அவர் மேலும் கூறினார்.""","""நாங்கள் இப்போது4மாத வயது சுறாக்களைக் கொண்டுள்ளோம், அவை நீரிழிவு நோய் இல்லாதவை, அவை நீரிழிவு நோய் கொண்டவையாக இருந்தன,"" என்று அவர் மேலும் கூறினார்."
MADLAD-3B,2,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","ஹாலிஃபாக்ஸில் உள்ள டல்ஹெளசி பல்கலைக்கழகத்தின் மருத்துவப் பேராசிரியரும், நோவா ஸ்கோட்டியா மற்றும் கனேடிய நீரிழிவு சங்கத்தின் மருத்துவ மற்றும் அறிவியல் பிரிவின் தலைவருமான டாக்டர் இஹுத் உர், ஆராய்ச்சி இன்னும் ஆரம்ப நாட்களில்தான் உள்ளது என்று எச்சரித்துள்ளார்.","நோவா ஸ்கோசியா மாநிலம் ஹாலிஃபாக்ஸில் உள்ள டால்ஹவுசி பல்கலைக்கழகத்தில் மருத்துவப் பேராசிரியரான டாக்டர் எஹூட் உர், கனடிய நீரிழிவு சங்கத்தின் மருத்துவ மற்றும் அறிவியல் பிரிவின் தலைவராக இருந்தார், அவர் இந்த ஆராய்ச்சி இன்னும் ஆரம்ப கட்டத்தில் இருப்பதாக எச்சரித்தார்."
MADLAD-3B,3,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","பிற வல்லுனர்கள் போலவே அவரும், ஏற்கனவே டைப் 1 இரத்த சர்க்கரை நோயுள்ளவர்களுக்கு இந்த கண்டுபிடிப்புகள் பொருந்தவில்லை என்பதால் இரத்த சர்க்கரை நோயிற்கு நிவாரணம் உள்ளதா என்பது குறித்து சந்தேகமடைகிறார்.","மற்ற சில நிபுணர்களைப் போலவே, அவர் நீரிழிவு நோய் குணமாகுமா என்பது குறித்து சந்தேகமாக இருக்கிறார், இந்த கண்டுபிடிப்புகள் ஏற்கனவே 1 வகை நீரிழிவு உள்ள மக்களுக்கு பொருந்தாது என்பதை குறிப்பிடுகிறார்."
MADLAD-3B,4,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","திங்கட் கிழமையன்று ஸ்வீடிஷ் அகேடமியில் இலக்கியத்திற்கான நோபல் குழுவின் செயலாளர், சாரா டேனியஸ் ஸ்வீடனின் ஸ்வெரிஜெஸ் ரேடியோவின் ஒரு ரேடியோ நிகழ்ச்சியில், பாப் டைலன் 2016ஆம் வருட இலக்கியத்திற்கான நோபல் பரிசு வென்றதை அவரிடம் நேரிடையாக அறிவிக்க இயலவில்லை என்றும் அவரை அடையும் முயற்சி கைவிடப்பட்டது என்றும் பொதுவாக அறிவித்தார்.","2016 இலக்கிய நோபல் பரிசு பெற்ற பாப் டிலானை நேரடியாகத் தொடர்பு கொள்ள முடியாத நிலையில், 2016 இலக்கிய நோபல் பரிசு பெற்றார் என்று அறிவித்த சரஸ் டானியஸ், சுவீடிய அகாதமியில் இலக்கியத்திற்கான நோபல் கமிட்டியின் நிரந்தர செயலாளர், 2016 இலக்கிய நோபல் பரிசு பெற்றார் என்று அறிவித்தார்."
MADLAD-3B,5,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","""""""இப்போது நாம் ஒன்றும் செய்யவில்லை. நான் அவரது நெருங்கிய கூட்டாளிக்கு அழைப்பு செய்து மின்னஞ்சல்களை அனுப்பி, மிகவும் நட்புடன் பதில்களைப் பெற்றுள்ளேன். இப்போதைக்கு, அது போதுமானது."""" என்று டானியஸ் கூறினார்.""","டானியஸ் கூறினார், ""இப்போது நாங்கள் எதையும் செய்யவில்லை. நான் அவரது நெருங்கிய கூட்டாளிக்கு அழைத்து மின்னஞ்சல் அனுப்பியுள்ளேன், மேலும் மிகவும் நட்பு மிக்க பதிலளிப்புகளை பெற்றேன். இப்பொழுது, அது நிச்சயமாக போதுமானது."""
MADLAD-3B,6,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","முன்பு, ரிங்க்ஸின் சீஈஓ ஜேமி ஸிமினாஃப், அவருக்கு அவரது கேரேஜினுள் உள்ள கடைக்குள் கதவு அறிவிப்பு மணியின் ஒலி கேட்காத காரணத்தால், அந்த நிறுவனம் துவங்கப்பட்டது என்பதை குறிப்பிட்டார்.","முன்னதாக, ரிங்கின் தலைமை செயல் அதிகாரி ஜேமி சிமினோஃப், தனது கார்கரேவில் உள்ள கடையில் இருந்து அவரது கதவு மணி கேட்காத போது நிறுவனம் தொடங்கப்பட்டது என்று குறிப்பிட்டார்."
MADLAD-3B,7,"He built a WiFi door bell, he said.","அவர், தான் வைஃபை கதவு அறிவிப்பு மணியை உருவாக்கியதாகக் கூறினார்.","அவர் ஒரு வசதியான கதவு பெல் கட்டினார், அவர் கூறினார்."
MADLAD-3B,8,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"ஸிமினாஃப், 2013 ஆம் ஆண்டு ஷார் டேங்க் தொடரில் தான் தோன்றியது மற்றும் அவர்கள் தன் ஸ்டார்ட் அப் நிறுவனத்திற்கு பணம் அளிக்க மறுத்ததன் பின்னர் அவரது விற்பனை பெருகியது என்று தெரிவித்தார்.","சிமினோஃப் கூறினார் விற்பனை 2013 ஆம் ஆண்டில் ஷார்க் டான்க் நிகழ்ச்சியில் அவரது தோற்றத்திற்குப் பிறகு அதிகரித்துள்ளது, அங்கு நிகழ்ச்சி குழுவினர் தொடங்குவதற்கு நிதி வழங்க மறுத்தனர்."
MADLAD-3B,9,"In late 2017, Siminoff appeared on shopping television channel QVC.","சிமினோஃப் 2017 இன் பிற்பகுதியில், ஷாப்பிங் தொலைக்காட்சி சேனலான QVC இல் தோன்றினார்.","2017 ஆம் ஆண்டின் இறுதியில், சிமினோஃப் ஷாப்பிங் தொலைக்காட்சி சேனல் QVC இல் தோன்றினார்."
MADLAD-3B,10,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",ரிங் அதன் போட்டி பாதுகாப்பு நிறுவனமான ADT கார்ப்பரேஷனுடன் உரிமை கோரல் வழக்கை தீர்த்துக் கொண்டது.,ரிங்கின் போட்டி பாதுகாப்பு நிறுவனமான ADT Corporation உடன் ஒரு வழக்கையும் தீர்த்து வைத்தது.
IndicTrans2,1,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""""""எங்களிடம் இப்போது  4-மாத-வயதுடைய எலி ஒன்று உள்ளது, முன்னர் அதற்கு நீரிழிவு இருந்தது தற்போது இல்லை"""" என்று அவர் மேலும் கூறினார்.""","""இப்போது எங்களிடம் 4 மாத வயது எலிகள் உள்ளன, அவை நீரிழிவு அல்லாதவை, அவை முன்பு நீரிழிவு நோயால் பாதிக்கப்பட்டன"" என்று அவர் மேலும் கூறினார்."
IndicTrans2,2,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","ஹாலிஃபாக்ஸில் உள்ள டல்ஹெளசி பல்கலைக்கழகத்தின் மருத்துவப் பேராசிரியரும், நோவா ஸ்கோட்டியா மற்றும் கனேடிய நீரிழிவு சங்கத்தின் மருத்துவ மற்றும் அறிவியல் பிரிவின் தலைவருமான டாக்டர் இஹுத் உர், ஆராய்ச்சி இன்னும் ஆரம்ப நாட்களில்தான் உள்ளது என்று எச்சரித்துள்ளார்.","நோவா ஸ்கோடியாவின் ஹாலிஃபாக்ஸில் உள்ள டல்ஹெளசி பல்கலைக்கழகத்தின் மருத்துவப் பேராசிரியரும், கனேடிய நீரிழிவு சங்கத்தின் மருத்துவ மற்றும் அறிவியல் பிரிவின் தலைவருமான டாக்டர் எஹுத் உர், ஆராய்ச்சி இன்னும் அதன் ஆரம்ப நாட்களில் இருப்பதாக எச்சரித்தார்."
IndicTrans2,3,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","பிற வல்லுனர்கள் போலவே அவரும், ஏற்கனவே டைப் 1 இரத்த சர்க்கரை நோயுள்ளவர்களுக்கு இந்த கண்டுபிடிப்புகள் பொருந்தவில்லை என்பதால் இரத்த சர்க்கரை நோயிற்கு நிவாரணம் உள்ளதா என்பது குறித்து சந்தேகமடைகிறார்.","மற்ற சில நிபுணர்களைப் போலவே, நீரிழிவு நோயைக் குணப்படுத்த முடியுமா என்பது குறித்து அவருக்கு சந்தேகம் உள்ளது, இந்த கண்டுபிடிப்புகள் ஏற்கனவே வகை 1 நீரிழிவு நோயால் பாதிக்கப்பட்டவர்களுக்கு எந்த தொடர்பும் இல்லை என்பதைக் குறிப்பிடுகிறது."
IndicTrans2,4,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","திங்கட் கிழமையன்று ஸ்வீடிஷ் அகேடமியில் இலக்கியத்திற்கான நோபல் குழுவின் செயலாளர், சாரா டேனியஸ் ஸ்வீடனின் ஸ்வெரிஜெஸ் ரேடியோவின் ஒரு ரேடியோ நிகழ்ச்சியில், பாப் டைலன் 2016ஆம் வருட இலக்கியத்திற்கான நோபல் பரிசு வென்றதை அவரிடம் நேரிடையாக அறிவிக்க இயலவில்லை என்றும் அவரை அடையும் முயற்சி கைவிடப்பட்டது என்றும் பொதுவாக அறிவித்தார்.","திங்களன்று, ஸ்வீடிஷ் அகாடமியின் இலக்கியத்திற்கான நோபல் குழுவின் நிரந்தரச் செயலாளரான சாரா டேனியஸ், ஸ்வீடனில் உள்ள ஸ்வெரிஜஸ் வானொலியில் ஒரு வானொலி நிகழ்ச்சியின் போது பகிரங்கமாக அறிவித்தார், 2016 ஆம் ஆண்டின் இலக்கியத்திற்கான நோபல் பரிசை வெல்வது குறித்து பாப் டிலானை நேரடியாக அணுக முடியாமல், அவரை அணுகுவதற்கான முயற்சிகளை குழு கைவிட்டது."
