id,english,tamil_reference,domain,topic,generated_tamil
11,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","எபோலாவினால் ஏற்படும் உயிரிழப்புகளைக் குறைக்கும் என நம்பப்படும் ஒரே ஒரு சோதனை தடுப்பூசியைத் தவிர, வேறு எந்த மருந்தும் தற்போதுள்ள தொற்றிற்கு ஏற்ப சிகிச்சை அளிப்பவையாக செயல்படவில்லை.",wikinews,health,"ஒரு சோதனை தடுப்பூசி எபோலா இறப்பைக் குறைக்க முடியும் என்று தோன்றுகிறது, இப்போது வரை, தற்போதுள்ள நோய்த்தொற்றுக்கு சிகிச்சையளிக்க எந்த மருந்துகளும் தெளிவாக நிரூபிக்கப்படவில்லை."
12,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","எதிர்ப்புசக்திக் கொண்ட சிற்றுண்டி, ZMapp, ஆரம்பத்தில் இந்தத் துறையில் நம்பிக்கைக் கொடுத்தது, ஆனால் முறைப்படி செய்யப்பட்ட ஆய்வுகள் இது மரணத்தை தடுப்பதற்கான வழிகளுக்குப் பதிலாக குறைவான நன்மையே தருகிறது என்பதைக் காட்டின.",wikinews,health,"ஒரு ஆன்டிபாடி காக்டெய்ல், ZMapp, ஆரம்பத்தில் இந்தத் துறையில் நம்பிக்கையைக் காட்டியது, ஆனால் முறையான ஆய்வுகள் மரணத்தைத் தடுப்பதில் விரும்பியதை விட குறைவான நன்மையைக் கொண்டிருந்தன என்பதைக் குறிக்கின்றன."
13,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.","PALM சோதனையில், ZMapp ஒரு கட்டுப்பாடாகச் செயல்பட்டது, அதாவது விஞ்ஞானிகள் இதை ஒரு அடிப்படையாகப் பயன்படுத்தினர் மற்றும் அதனுடன் மற்ற மூன்று சிகிச்சையையும் ஒப்பிட்டனர்.",wikinews,health,"PALM சோதனையில், ZMapp ஒரு கட்டுப்பாட்டாக செயல்பட்டது, அதாவது விஞ்ஞானிகள் அதை ஒரு அடிப்படையாகப் பயன்படுத்தினர் மற்றும் மற்ற மூன்று சிகிச்சைகளை அதனுடன் ஒப்பிட்டனர்."
14,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,"USA ஜிம்னாஸ்டிக்ஸ், யுனைடெட் ஸ்டேட்ஸ் ஒலிம்பிக் கமிட்டியின் கடிதத்தை ஆதரிக்கிறது மற்றும்  விளையாட்டு வீரர்கள் அனைவருக்கும் பாதுகாப்பான சூழலை ஊக்குவிக்க ஒலிம்பிக் குடும்பத்தின் முழுமையான தேவையை ஏற்றுக்கொள்கிறது.",wikinews,sports,அமெரிக்க ஜிம்னாஸ்டிக்ஸ் அமெரிக்க ஒலிம்பிக் கமிட்டியின் கடிதத்தை ஆதரிக்கிறது மற்றும் நமது விளையாட்டு வீரர்கள் அனைவருக்கும் பாதுகாப்பான சூழலை ஊக்குவிக்க ஒலிம்பிக் குடும்பத்தின் முழுமையான தேவையை ஏற்றுக்கொள்கிறது.
15,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.","எங்களுடைய  விளையாட்டு வீரர்கள் மற்றும் கிளப்புகளின் நலன்கள், மற்றும் அவர்களின் விளையாட்டு ஆகியவை தீர்மானிப்பதை விட, எங்கள் நிறுவனத்திற்குள் அர்த்தமுள்ள மாற்றத்துடன் முன்னேறுவதன் மூலம் சிறப்பாக சேவை செய்யப்படலாம், என்ற  USOC's  அறிக்கையுடன் நாங்கள் உடன்படுகிறோம்.",wikinews,sports,"எங்கள் விளையாட்டு வீரர்கள் மற்றும் கிளப்புகளின் நலன்கள் மற்றும் அவர்களின் விளையாட்டு ஆகியவை, எங்கள் நிறுவனத்திற்குள் அர்த்தமுள்ள மாற்றத்துடன் முன்னேறுவதன் மூலம், சான்றிதழ் நீக்கப்படுவதை விட சிறப்பாக செயல்பட முடியும் என்ற யு. எஸ். ஓ. சியின் அறிக்கையை நாங்கள் ஒப்புக்கொள்கிறோம்."
16,USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,"யுஎஸ்ஏ ஜிம்னாஸ்டிக்ஸ் ஆதரவாளர்கள், லேரி நாஸரினால் பிழைத்தவர்கள், தைரியமாக அந்த கலவை எவ்வளவு பாதிப்பை அளித்தது மற்றும் இவ்வளவு நாட்கள் கண்டுபிடிக்கப்படாமல் இருந்தது என்று விவரிப்பதை தெளிவுபடுத்த முயலும் தன்னிச்சை ஆய்விற்கு ஆதரவு அளிக்கும் மற்றும் தேவையான மற்றும் தகுந்த மாற்றத்தை ஒட்டி நடக்கும் என்கின்றனர்.",wikinews,sports,லாரி நாசர் உயிர் பிழைத்தவர்களால் தைரியமாக விவரிக்கப்பட்ட விகிதத்தை துஷ்பிரயோகம் செய்வது இவ்வளவு நீண்ட காலத்திற்கு கண்டறியப்படாமல் இருந்திருக்கலாம் மற்றும் தேவையான மற்றும் பொருத்தமான மாற்றங்களைத் தழுவியிருக்கலாம் என்பதை வெளிச்சம் போட்டுக் காட்டும் ஒரு சுயாதீன விசாரணையை யு. எஸ். ஏ ஜிம்னாஸ்டிக்ஸ் ஆதரிக்கிறது.
17,"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.","அமெரிக்க ஜிம்னாஸ்டிக்ஸ் மற்றும் USOC ஆகிய இரண்டும்  பாதுகாப்பான, நேர்மறையான மற்றும் அதிகாரம் பெற்ற சூழலில் விளையாட்டு வீரர்கள் தங்கள் லட்சியங்களைத் தொடர ஜிம்னாஸ்டிக்ஸ் விளையாட்டையும், மற்ற விளையாட்டுகளையும், முடிந்தவரை பாதுகாப்பானதாக மாற்றுவதற்கான ஒரே நோக்கத்தைக் கொண்டுள்ளன.",wikinews,sports,"அமெரிக்க ஜிம்னாஸ்டிக்ஸ் மற்றும் யு. எஸ். ஓ. சி ஒரே குறிக்கோளைக் கொண்டுள்ளன-ஜிம்னாஸ்டிக்ஸ் விளையாட்டை உருவாக்குவது மற்றும் பிற, விளையாட்டு வீரர்கள் தங்கள் கனவுகளை பாதுகாப்பான, நேர்மறையான மற்றும் அதிகாரம் பெற்ற சூழலில் பின்பற்ற முடிந்தவரை பாதுகாப்பானது."
18,"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.",1960 முழுவதும் ஜான் எஃப்.கென்னடியிடம் ஆலோசகராகவும் பிறகு லிண்டன் பி. ஜான்சன் நிர்வாகத்திலும் ப்ஜெஜின்ஸ்கி பணிபுரிந்தார்.,wikinews,politics,"1960கள் முழுவதும், ஜான் எஃப் கென்னடிக்கு அவரது ஆலோசகராகவும் பின்னர் லிண்டன் பி. ஜான்சன் நிர்வாகத்திலும் பிரெஸ்ஜின்ஸ்கி பணியாற்றினார்."
19,"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.","1976 தேர்வுகளின் போது அவர் கார்டருக்கு வெளியுறவுக் கொள்கை குறித்து ஆலோசனை வழங்கினார், பின்னர்  ஹென்றி கிஸ்ஸிங்கருக்குப் பின் 1977 முதல் 1981 வரை தேசிய பாதுகாப்பு ஆலோசகராக (NSA) பணியாற்றினார்.",wikinews,politics,"1976 தேர்தல்களின் போது அவர் கார்டருக்கு வெளியுறவுக் கொள்கை குறித்து ஆலோசனை வழங்கினார், பின்னர் 1977 முதல் 1981 வரை தேசிய பாதுகாப்பு ஆலோசகராக (என்எஸ்ஏ) பணியாற்றினார், ஹென்றி கிஸ்ஸிங்கருக்குப் பிறகு."
20,"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.","என்எஸ்ஏயாக அவர், 1978ஆம் ஆண்டு கேம்ப் டேவிட் உடன்படிக்கை; 1970ஆம் ஆண்டில் யுஎஸ்- சைனா இடையேயான உறவை சீர்படுத்தல், 1979ஆம் ஆண்டு இரான் பிணைக்கைதி நெருக்கடிக்கு வழிவகுத்த இரான் போராட்டம்; 1979இல் ஆஃப்கானிஸ்தானில் சோவியத்தின் முற்றுகை போன்ற உலக விவகாரங்களை அரசியல் திறனுடன் கையாள்வதில் கார்டருக்கு உதவியாக இருந்தார்.",wikinews,politics,"தேசிய பாதுகாப்பு ஆலோசகராக, 1978 ஆம் ஆண்டு கேம்ப் டேவிட் உடன்படிக்கைகள் போன்ற உலக விவகாரங்களை இராஜதந்திர ரீதியாக கையாள்வதில் கார்டருக்கு உதவினார்; 1970 களின் பிற்பகுதியில் அமெரிக்க-சீன உறவுகளை இயல்பாக்கியது; ஈரான் பணயக்கைதிகள் நெருக்கடிக்கு வழிவகுத்த ஈரானிய புரட்சி, 1979; மற்றும் ஆப்கானிஸ்தானில் சோவியத் படையெடுப்பு, 1979."
21,"The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.","ரியான் கோஸ்லிங் மற்றும் எம்மா ஸ்டோன் நடித்த இந்தத் திரைப்படம், அனைத்து முக்கிய பிரிவுகளிலும் பரிந்துரைகளைப் பெற்றது.",wikinews,entertainment,ரியான் கோஸ்லிங் மற்றும் எம்மா ஸ்டோன் நடித்த இந்த படம் அனைத்து முக்கிய பிரிவுகளிலும் பரிந்துரைகளைப் பெற்றது.
22,Gosling and Stone received nominations for Best Actor and Actress respectively.,"கோஸ்லிங் மற்றும் ஸ்டோன், இவர்கள் இருவரும் சிறந்த நடிகர் மற்றும் நடிகைக்கான பரிந்துரைகளைப் பெற்றனர்.",wikinews,entertainment,கோஸ்லிங் மற்றும் ஸ்டோன் முறையே சிறந்த நடிகர் மற்றும் நடிகைக்கான பரிந்துரைகளைப் பெற்றனர்.
23,"The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.","சிறந்த படம், இயக்குனர், ஒளிப்பதிவு, ஆடை வடிவமைப்பு, பட எடிட்டிங், அசல் ஸ்கோர், தயாரிப்பு வடிவமைப்பு, ஒலி எடிட்டிங், ஒலி கலவை மற்றும் அசல் திரைக்கதை ஆகிய பிற பரிந்துரைகள் அடங்கியுள்ளன.",wikinews,entertainment,"சிறந்த படம், இயக்குனர், ஒளிப்பதிவு, ஆடை வடிவமைப்பு, திரைப்படத் தொகுப்பு, அசல் இசை, தயாரிப்பு வடிவமைப்பு, ஒலி எடிட்டிங், ஒலி கலவை மற்றும் அசல் திரைக்கதை ஆகியவை பரிந்துரைக்கப்படுகின்றன."
24,"Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio.","திரைப்படத்தின் இரண்டு பாடல்கள், ஆடிஷன் (தி ஃபூல்ஸ் ஹூ ட்ரீம்) மற்றும் சிட்டி ஆஃப் ஸ்டார்ஸ், சிறந்த ஒர்ஜினல் பாடலுக்கான பரிந்துரைகளைப் பெற்றன. லயன்ஸ்கேட் ஸ்டுடியோ 26 பரிந்துரைகளைப் பெற்றது - வேறு எந்த ஸ்டுடியோவை விடவும் அதிகமானது.",wikinews,entertainment,"திரைப்படத்தின் இரண்டு பாடல்கள், ஆடிஷன் (தி ஃபூல்ஸ் ஹூ ட்ரீம்) மற்றும் சிட்டி ஆஃப் ஸ்டார்ஸ், சிறந்த அசல் பாடலுக்கான பரிந்துரைகளைப் பெற்றன. லயன்ஸ்கேட் ஸ்டுடியோ 26 பரிந்துரைகளைப் பெற்றது-வேறு எந்த ஸ்டுடியோவையும் விட அதிகம்."
25,"Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria.","ஞாயிற்றுக்கிழமை பிற்பகுதியில், அமெரிக்க அதிபர் டொனால்ட் டிரம்ப், பத்திரிகை செயலாளர் வழியாக வழங்கிய அறிக்கையில், அமெரிக்கத் துருப்புகள் சிரியாவை விட்டு வெளியேறப்போவதாக அறிவித்தார்.",wikinews,politics,"ஞாயிற்றுக்கிழமை பிற்பகுதியில், அமெரிக்க அதிபர் டொனால்ட் ட்ரம்ப், பத்திரிகை செயலாளர் மூலம் வழங்கிய அறிக்கையில், அமெரிக்க துருப்புக்கள் சிரியாவை விட்டு வெளியேறுவதாக அறிவித்தார்."
26,The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan.,"இந்த அறிவிப்பு ட்ரம்ப், துருக்கியின் ஜனாதிபதி ரெஸெப் டய்யிப் ஏர்டோகனுடன் நடத்திய தொலைபேசி உரையாடலின் பின்னர் செய்யப்பட்டது.",wikinews,politics,துருக்கி அதிபர் ரெசெப் தயிப் எர்டோகனுடன் தொலைபேசி உரையாடலின் பின்னர் இந்த அறிவிப்பு வெளியிடப்பட்டது.
27,"Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate.",அந்த அறிக்கையின்படி கைப்பற்றப்பட்ட ISIS போராளிகளை பாதுகாக்கும் பொறுப்பை துருக்கி எடுத்துக்கொள்ளும் மற்றும் ஐரோப்பிய நாடுகள் திருப்பி அனுப்ப மறுத்துவிட்டன என்றும் கூறியது.,wikinews,politics,"கைப்பற்றப்பட்ட ஐஎஸ்ஐஎஸ் போராளிகளைப் பாதுகாப்பதையும் துருக்கி எடுத்துக் கொள்ளும், ஐரோப்பிய நாடுகள் திருப்பி அனுப்ப மறுத்துவிட்டன என்று அந்த அறிக்கையில் கூறப்பட்டுள்ளது."
28,"This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.","இது, ஏற்கனவே பரவலாக பேசப்படும் கொள்கையான சில டைனோசர்களுக்கு மட்டும் இறகுகள் இருப்பதை உறுதிப்படுத்துகிறது. மேலும், விளக்கமான தொல் எச்சங்களால் பொதுவாக அளிக்க முடியாத நிறம் மற்றும் முப்பரிமாண அமைப்பு குறித்த விவரங்களையும் வழங்குகிறது.",wikinews,sciece,"இது குறைந்தபட்சம் சில டைனோசர்களுக்கு இறகுகள் இருந்தன என்பதை உறுதிப்படுத்துவது மட்டுமல்லாமல், ஏற்கனவே பரவலாக உள்ள ஒரு கோட்பாடு, ஆனால் நிறம் மற்றும் முப்பரிமாண ஏற்பாடு போன்ற புதைபடிவங்கள் பொதுவாக செய்ய முடியாத விவரங்களை வழங்குகிறது."
29,. Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside.,விஞ்ஞானிகள் இந்த விலங்கினுடைய இறகுப்பகுதியின் மேற்பரப்பு கஷ்கொட்டை-பழுப்பு நிறத்திலும் மற்றும் அடிப்பரப்பு வெளிர் அல்லது கரோட்டினாய்டு நிறத்திலும் இருந்தன என்று கூறுகின்றனர்.,wikinews,sciece,இந்த விலங்கின் இறகுகள் மேலே செஸ்ட்நட்-பழுப்பு நிறத்தில் வெளிர் அல்லது கரோட்டினாய்டு நிறத்தில் இருந்தன என்று விஞ்ஞானிகள் கூறுகின்றனர்.
30,The find also grants insight into the evolution of feathers in birds.,கண்டுபிடிப்பானது பறவைகளில் இறகுகளின் பரிணாம வளர்ச்சியைப் பற்றிய நுண்ணறிவை வழங்குகிறது.,wikinews,sciece,பறவைகளில் இறகுகளின் பரிணாமம் பற்றிய நுண்ணறிவையும் இந்த கண்டுபிடிப்பு வழங்குகிறது.
31,"Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.","டைனோசர் இறகுகளில் தண்டுகள் வளர்ந்த நிலையில் இருக்காது என்பதால், இது ராச்சிஸ் என்று அழைக்கப்படுகிறது, ஆனால் இறகுகளின் பிற அம்சங்களைக் கொண்டிருக்கின்றன - பார்ப்கள் மற்றும் பார்ப்யூல்கள் - ஆராய்ச்சியாளர்கள் ராச்சிகளை யூகித்து, இந்த பிற அம்சங்கள் பிற்கால பரிணாம வளர்ச்சியாக இருக்கலாம் எனக் கருதினர்.",wikinews,sciece,"டைனோசர் இறகுகள் ராச்சிஸ் என்று அழைக்கப்படும் நன்கு வளர்ந்த தண்டைக் கொண்டிருக்கவில்லை, ஆனால் இறகுகளின் பிற அம்சங்களைக் கொண்டுள்ளன-பார்புகள் மற்றும் பார்புல்ஸ்-ஆராய்ச்சியாளர்கள் ராச்சிஸ் இந்த மற்ற அம்சங்களை விட பிற்கால பரிணாம வளர்ச்சியாக இருக்கலாம் என்று ஊகித்தனர்."
32,"The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.","இறகுகளின் அமைப்பு அவை பறப்பதற்கு பயன்படுத்தப்படவில்லை, மாறாக வெப்பத்தைக் கட்டுப்படுத்துவதற்கும் அல்லது காட்சிக்கு எனக் கூறுகிறது. இது ஒரு இளம் டைனோசரின் வால் என்றாலும், மாதிரியானது வளர்ந்த இறகினை காட்டுகிறது, குஞ்சினுடையது அல்ல என்று ஆராய்ச்சியாளர்கள் அறிவுறுத்துகின்றனர்.",wikinews,sciece,"இறகுகளின் அமைப்பு அவை பறக்கவிடுவதற்குப் பயன்படுத்தப்படவில்லை, மாறாக வெப்பநிலை கட்டுப்பாடு அல்லது காட்சிக்கு பயன்படுத்தப்பட்டன என்று கூறுகிறது. இது ஒரு இளம் டைனோசரின் வால் என்றாலும், மாதிரி ஒரு குஞ்சின் கீழே அல்ல, வயது வந்த இறகுகளைக் காட்டுகிறது என்று ஆராய்ச்சியாளர்கள் பரிந்துரைத்தனர்."
33,"The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.","இது சிறிய டைனோசரின் வாலாக இருப்பினும், மாதிரியின் முடிவுகள் அது வயது வந்த தழும்புகளை கொண்டுள்ளது, மற்றும் அது கோழிக்குஞ்சின் பின்புறம் கிடையாது என ஆராய்ச்சியாளர்கள் பரிந்துரைக்கிறார்கள்.",wikinews,sciece,"இது ஒரு இளம் டைனோசரின் வால் என்றாலும், மாதிரி ஒரு குஞ்சின் கீழே அல்ல, வயது வந்த இறகுகளைக் காட்டுகிறது என்று ஆராய்ச்சியாளர்கள் பரிந்துரைத்தனர்."
34,"A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.",துருக்கியின் கேஸியண்டேப்பிலுள்ள காவல்துறை தலைமையகத்தில் நேற்று காலை ஏற்பட்ட கார் குண்டு வெடிப்பில் இரண்டு காவல்துறை அதிகாரிகள் கொல்லப்பட்டனர் மற்றும் இருபதிற்கும் மேற்பட்டவர்கள் காயமடைந்தனர்.,wikinews,politics,துருக்கியில் உள்ள காசியான்டெப்பில் உள்ள காவல் தலைமையகத்தில் நேற்று காலை நடத்தப்பட்ட கார் குண்டு வெடிப்பில் இரண்டு காவல் அதிகாரிகள் கொல்லப்பட்டனர் மற்றும் இருபதுக்கும் மேற்பட்டோர் காயமடைந்தனர்.
35,The governor's office said nineteen of the injured were police officers.,ஆளுனர் அலுவலக நிர்வாகத்தினர் காயமடைந்தவர்களில் பத்தொன்பது பேர்கள் காவல்துறை அதிகாரிகள் என்று கூறினர்.,wikinews,politics,காயமடைந்தவர்களில் பத்தொன்பது பேர் போலீஸ் அதிகாரிகள் என்று ஆளுநர் அலுவலகம் தெரிவித்துள்ளது.
36,Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.,இந்த தாக்குதலுக்கு டேஷ் (இஸ்லாமிக் ஸ்டேட் ஆப் ஈராக் அண்ட் லெவண்ட்) போராளி பொறுப்பானவர்கள் என்று சந்தேகிப்பதாக போலீசார் தெரிவித்தனர்.,wikinews,politics,இந்தத் தாக்குதலுக்கு ஐஎஸ்ஐஎஸ் தீவிரவாதிகள் ஒருவர் பொறுப்பு என்று சந்தேகிப்பதாக போலீசார் தெரிவித்தனர்.
